Component name	Menu X	Menu Y	Hotkey	Colored	Grayed	Semantic name	Description
Wire	0	0	W	no	no	Wire	Allows charge to flow.
Splitter	1	0	S	no	no	Splitter	Splits a large charge into multiple smaller charges.|Orange splits into 2 Red|Yellow splits into 3 Red|Green splits into 2 Orange|Blue splits into 2 Yellow
Amplifier	2	0	A	no	no	Amplifier	"Accepts two charges and emits a charge that is one level higher than the larger of the receieved charges.|Red = 1, Orange = 2, Yellow = 3, Green = 4, Blue = 5"
FilteredAmplifier	3	0	L	yes	no	# Amplifier	Accept two charges and emits a # charge.  Will not accept a second charge unless the sum is strong enough to produce a # charge.
TeleportSource	4	0	T	yes	no	# Transmitter	Teleports a charge to the closest # receiver.
TeleportDestination	5	0	R	yes	no	# Receiver	Accepts charges from # transmitters.  Otherwise behave like a normal wire.
ChargeFilter	6	0	F	yes	no	# Filter	Only allows # charge to pass through.
Hold	5	1	H	no	no	Hold	Holds will accept a charge and keep it until the charge has a valid destination to move towards.
GateOpen	-1	-1	!	yes	yes	# Gate (Open)	"Gates don't allow charge to pass when closed, but behave like wires when open.  # gates are controlled by a # switch."
GateClosed	0	1	G	yes	yes	# Gate (Closed)	"Gates don't allow charge to pass when closed, but behave like wires when open.  # gates are controlled by a # switch."
GateSwitch	1	1	B	yes	yes	# Switch	Toggles all # gates.
Circuit	4	1	D	no	no	Chip	"Allows you to build a 5x5 grid of components on a single tile. Can be flipped and rotated, as well as copied (c) and pasted (v)."
TrapOpen	2	1	P	yes	yes	# Trap (Open)	"Behaves like a normal wire for the first charge that passes through it, then it will close. |Can be reset by a # crank."
TrapSprung	-1	-1	!	yes	yes	# Trap (Closed)	"Behaves like a normal wire for the first charge that passes through it, then it will close. |Can be reset by a # crank."
TrapReset	3	1	!	yes	yes	# Crank	Resets all # traps.
PowerSource	6	1	O	yes	no	# Generator	Produces # charge and sends it to adjacent components.
MegaHold	4	2	!	yes	yes	# Goal Battery	"Accumulates all incoming # charge, but also peridoically loses charge.  Once all goals are filled correctly, you win!"
ChargeGoal	5	2	!	yes	no	# Goal	"Once all goals are filled with a charge of the same color, you win! ||A goal will hold onto charge as long as it has no other destination to move towards."
Blocker	6	2	!	no	no	Blocker	Blockers never allow charge to pass through them.
Eraser	6	2	E	no	no	Eraser	The eraser makes it easy to delete many components.  You can also drag the right mouse button.
WireMajorAccelerator	-1	-1	!	no	no	Major Accelerator	Wires can be modified to change the speed charge travels through them.  You can use the mouse wheel to cycle through wire speeds.
WireMinorAccelerator	-1	-1	!	no	no	Minor Accelerator	Wires can be modified to change the speed charge travels through them.  You can use the mouse wheel to cycle through wire speeds.
WireStandard	-1	-1	!	no	no	Standard Speed	Wires can be modified to change the speed charge travels through them.  You can use the mouse wheel to cycle through wire speeds.
WireMinorDelay	-1	-1	!	no	no	Minor Delay	Wires can be modified to change the speed charge travels through them.  You can use the mouse wheel to cycle through wire speeds.
WireMajorDelay	-1	-1	!	no	no	Major Delay	Wires can be modified to change the speed charge travels through them.  You can use the mouse wheel to cycle through wire speeds.
CircuitBoundary	-1	-1	!	no	no	Circuit Boundary	The boundary of a circuit can be configured to block the flow of charge.
CloseAll	-1	-1	!	no	no	Close All	Closes all inactive circuit boundaries.
CircuitRotate90	-1	-1	Right	no	no	Rotate Clockwise	"Rotates the selected components.||You cannot modify chips that are part of the puzzle, but you can copy (C) or paste (V) them."
CircuitRotateN90	-1	-1	Left	no	no	Rotate Counter-clockwise	"Rotates the selected components.||You cannot modify chips that are part of the puzzle, but you can copy (C) or paste (V) them."
