Puzzle name	Tip	Solution count	Step count par	Component cost par	Base component cost
The Path to Success	Welcome to Charge!  The objective is to fill each Goal with a charge of the same color.||Left click adds a new component.  Right click deletes a component.  Press enter to start the puzzle.	1	82	254	243
The Bent Road	Charge will pick a different path each time it hits a junction.||Click on components for additional information.	1	387	155	147
Kinder Garden	There are five colors of charge.||Your progress and solutions for each puzzle are saved automatically.	2	112	47	20
Speed Racer	Wires can be upgraded to accelerators that move charge faster.||Click on a component you have built to see its possible upgrades.	2	89	160	143
Sensitivity Training	You can modify components to control the flow of charge.  Charge will prefer to move towards Acceptors and away from Rejectors.	1	152	219	206
Dealing with Rejection	You cannot modify components that are part of the level.  You can use Ctrl+Z to undo multiple actions.	1	322	237	231
A Stitch in Time	A charge will stay in a Goal if the other destinations it can move towards are blocked.	1	176	263	230
Power to the People	Amplifiers can produce stronger charges. Red is the weakest charge, while Blue is the strongest.	1	1393	23	8
Lemon-aid	Charges can interfere with each other in undesired ways.	1	329	113	78
There and Back Again	Charge prefers less recently used components.	2	394	72	67
Tower of Babel	High-level charges can be split into smaller charges.	1	92	77	50
One Small Step	Splitting and ampiflying can act in complimentary ways.	2	102	39	24
One Giant Leap	You might learn something new from the official solution for levels you have already solved.	2	141	54	36
Ding Dong Ditch	Gates and switches can let charges control themselves.	1	414	56	46
Minimum Security	New components can overcome new obstacles.	1	553	267	255
Double Trouble	Charges are easier to control when they have similar timing along a wire.	2	174	136	104
Beam Me Up	Click on a Generator to see how many charges it emits and how frequently it emits them.	1	193	142	120
Six String Samurai	You can hold down tab to temporarially speed up the game.	1	214	62	32
Reindeer Games	Some puzzles are harder than they seem.	1	1024	227	158
The Green-Eyed Monster	Select multiple components with Control or Shift. You can copy (C), paste (V), and cut (X) components.	1	354	51	12
Stations of Life	Colored Amplifiers can be more efficient than regular ones.	2	606	19	4
A Penny Saved	Efficiency in both space and charge is important.	1	966	252	238
Red Tide	Delays and Accelerators can help to prevent charge destruction.	1	197	66	29
Moment of Glory	Sometimes you have nothing better to do than wait.	1	1164	140	122
It's a Trap!	Traps force you to consider other options.	1	384	77	40
Trapasaurus	Traps can be useful.	1	676	71	21
Bonanza	Traps can be tricky.	1	403	76	6
Hold Your Horses	Holds allow charge to wait until there is a valid destination for the charge to move to.	1	85	218	206
Cram Time	At a junction, charge will pick a different direction each time.	1	272	123	102
Open Sesame	Cranks let you open Traps of the corresponding color.	1	1483	190	160
A Silver Lining	A Gray Crank will only open the closest Gray Trap.  A Gray Switch will only open the closest Gray Gate.	1	1502	157	119
We Require More	Sometimes it is a bad idea to open a Gate.	1	1494	102	42
Cornered	Timing can be everything.|To advance more slowly, pause the game then use the space bar.	1	519	76	16
Doom House	Some puzzles have to be solved one step at a time.	1	527	163	120
Different Strokes	Colored Amplifiers will only produce charge of the right color.	1	2072	81	54
Labyrinth	Some tasks are easier with the right components.	1	652	227	156
Color Queue	Pressing a Switch twice in a row will allow only a single charge to pass through a Gate.	1	720	209	166
Infinite Possibilities	Finite input can beget infinite output.	1	687	69	46
New Horizons	Chips are a powerful tool to eliminate certain space constraints.	1	606	401	280
Punch the Keys	Pay attention to the already existing chips.	1	380	183	99
One With Nothing	Chips built into the level can be copied (C), pasted (V), rotated, and flipped.	1	912	634	34
To Each His Own	Chips you build now might come in handy later.	1	442	255	229
Creative License	Sitting back and thinking can sometimes produce better results.	1	586	111	86
